MSSubClass,MSZoning,LotFrontage,LotArea,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,SaleType,SaleCondition,TotalSF,House_age,Remodel_age,Is_remodeled,Remodel_delay,Garage_age,Is_garage_remodel,Garage_area_per_car,House_stock_duration,Yr_sold_age,Total_sf_house,Proportional_sf_house,big_garage,lot_of_bedrooms,lot_of_half_baths,YrBltAndRemod,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice,Target_Normalized
2-STORY 1946 & NEWER,RL,18.152750121274455,13.833054791293078,Lvl,Inside,CollgCr,Norm,1Fam,2Story,5.386893493310362,3.9915166332550287,Gable,VinylSd,VinylSd,BrkFace,19.433174140570078,1.604478139397823,2.12798712166176,PConc,12.860756221243749,17.318546337734922,0.6607692844390141,4.884170427673171,144.1178624267249,0.5957696887028963,0.0,29.991052231705144,422.4884522021627,3.5627669979317553,412.5952362705829,SBrkr,5.939032673887156,1025.6519784236882,0.0,8.353543891413189,0.993439755709873,1.8100729622489096,1.0688365163293567,2.4512601368694753,0.750956851539637,2.1649887074124217,2.261967958636929,Typ,0.0,Attchd,1.5743654059519891,2.2434783059723897,527.2739018663306,18.299284618312996,17.1463923450287,97.39345922684728,0.0,12.080309441899223,0.0,0.0,0.0,0.0,1.7318119547930964,WD,Normal,1454.079463299738,1.5649611467119993e+50,2.6637697596581957e+150,True,1.5206779759103212e+151,3.759048719796436e+57,False,235.0251840914479,-2.7376746884835185e+51,2.298161660974074e-14,1462.4330071911513,174.06737573910658,0,0,1,1.5206779759103212e+151,1175.7088735243003,3.337930976123461,12.080309441899223,0,1,1,1,0,208500,12.24769911637256
1-STORY 1946 & NEWER ALL STYLES,RL,20.683504395539178,14.117918353669493,Lvl,FR2,Veenker,Feedr,1Fam,1Story,4.710909118247938,6.000032503916834,Gable,MetalSd,MetalSd,None,0.0,1.3826135112547757,2.12798712166176,CBlock,12.860756221243749,17.318546337734922,1.4419529688071637,4.149545311913138,181.71918596094844,0.5957696887028963,0.0,44.13540972278895,593.8880921841578,3.5627669979317553,412.5952362705829,SBrkr,6.234989115035395,0.0,0.0,7.974694029494974,0.0,1.8100729622489096,0.0,2.4512601368694753,0.750956851539637,1.7868711440644676,1.9965772716640957,Typ,0.9033340706689311,Attchd,1.5743654059519891,2.2434783059723897,443.1573413502596,18.299284618312996,17.1463923450287,97.39345922684728,56.184224939033804,0.0,0.0,0.0,0.0,0.0,3.8787613105291934,WD,Normal,600.1230812991932,6.888852714108839e+50,9.754665050496411e+150,True,8.115884468264996e+150,3.935955232553769e+57,False,197.53136911131492,-2.2052855317438346e+51,3.447242491461111e-14,608.0977753286883,75.25343029834063,0,0,0,8.115884468264996e+150,187.95417507598384,2.1655206058984793,56.184224939033804,0,0,1,1,1,181500,12.109016442313738
2-STORY 1946 & NEWER,RL,18.676569412341614,14.476513035525508,Lvl,Inside,CollgCr,Norm,1Fam,2Story,5.386893493310362,3.9915166332550287,Gable,VinylSd,VinylSd,BrkFace,17.76883963279312,1.604478139397823,2.12798712166176,PConc,12.860756221243749,17.318546337734922,1.0187600230348213,4.884170427673171,110.4410333950049,0.5957696887028963,0.0,56.89652782159558,450.0796539438778,3.5627669979317553,412.5952362705829,SBrkr,5.994334797796961,1040.5210594088107,0.0,8.40806458640369,0.993439755709873,1.8100729622489096,1.0688365163293567,2.4512601368694753,0.750956851539637,2.1649887074124217,1.9965772716640957,Typ,0.9033340706689311,Attchd,1.5743654059519891,2.2434783059723897,584.5689100682101,18.299284618312996,17.1463923450287,97.39345922684728,0.0,9.901081137082226,0.0,0.0,0.0,0.0,6.386349166739799,WD,Normal,1496.5950481504856,1.997306282542475e+50,3.0110940939601307e+150,True,1.4859455424801277e+151,3.7735606869806206e+57,False,260.56365622614777,-2.694440174900471e+51,2.298161660974074e-14,1505.0031127368893,177.99518935315547,0,0,1,1.4859455424801277e+151,1156.9564276016126,3.337930976123461,9.901081137082226,0,1,1,1,1,223500,12.317171167298682
2-STORY 1945 & OLDER,RL,17.25724590820137,14.106197095268373,Lvl,Corner,Crawfor,Norm,1Fam,2Story,5.386893493310362,3.9915166332550287,Gable,Wd Sdng,Wd Shng,None,0.0,1.3826135112547757,2.12798712166176,BrkTil,7.944894407140679,32.800334713518964,0.6607692844390141,4.149545311913138,61.79531472925543,0.5957696887028963,0.0,64.80884846264118,378.85451708014097,2.967036933091472,412.5952362705829,SBrkr,6.027702902541128,904.4774215179197,0.0,8.3586627215456,0.993439755709873,0.9420433798293266,0.0,2.4512601368694753,0.750956851539637,2.1649887074124217,2.1373693553807915,Typ,0.9033340706689311,Detchd,0.8659158917939181,3.488110572653354,617.0176321896348,18.299284618312996,17.1463923450287,97.39345922684728,0.0,8.966115843178372,16.020711562312886,0.0,0.0,0.0,1.7318119547930964,WD,Abnorml,1289.3596415006018,1.5561243536236375e+51,1.0819887490789203e+151,True,7.050662027972205e+150,3.794881856312919e+57,False,176.89164931496958,-1.3380464495310811e+51,4.6074255521943996e-14,1297.7183042221475,154.25429694358888,1,0,0,7.050662027972205e+150,972.3004391497162,1.9354831355391995,24.98682740549126,0,1,1,1,1,140000,11.849404844423074
2-STORY 1946 & NEWER,RL,21.32460542468705,15.022008770144721,Lvl,FR2,NoRidge,Norm,1Fam,2Story,6.04660082287256,3.9915166332550287,Gable,VinylSd,VinylSd,BrkFace,25.40416329675411,1.604478139397823,2.12798712166176,PConc,12.860756221243749,17.318546337734922,1.2607840931884786,4.884170427673171,136.62460106652762,0.5957696887028963,0.0,61.1663708327732,545.3098487407351,3.5627669979317553,412.5952362705829,SBrkr,6.161220132521186,1273.024862454694,0.0,8.669321793503922,0.993439755709873,1.8100729622489096,1.0688365163293567,3.1452700398997324,0.750956851539637,2.1649887074124217,2.3737528169215443,Typ,0.9033340706689311,Attchd,1.5743654059519891,3.488110572653354,801.9454383608677,18.299284618312996,17.1463923450287,97.39345922684728,42.245703082225205,14.27156914806782,0.0,0.0,0.0,0.0,8.115222062360894,WD,Normal,1824.49593132795,2.211071088746587e+50,3.682616462111745e+150,True,1.4187933056649663e+151,3.780726850113983e+57,False,229.90826169562615,-2.6730636942800598e+51,2.298161660974074e-14,1833.165253121454,210.45428636586976,1,0,1,1.4187933056649663e+151,1415.8106836537427,3.337930976123461,56.517272230293024,0,1,1,1,1,250000,12.429220196836383
1-1/2 STORY FINISHED ALL AGES,RL,21.48291355743144,14.99825761691855,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,4.015812915213856,3.9915166332550287,Gable,VinylSd,VinylSd,None,0.0,1.3826135112547757,2.12798712166176,Wood,12.860756221243749,17.318546337734922,0.6607692844390141,4.884170427673171,147.87648331986628,0.5957696887028963,0.0,17.718036205946653,396.38892365172205,3.5627669979317553,412.5952362705829,SBrkr,5.883142687345976,671.0296902451138,0.0,8.069454410564001,0.993439755709873,0.9420433798293266,1.0688365163293567,0.9113647207308639,0.750956851539637,1.7868711440644676,1.8346585724231437,Typ,0.0,Attchd,0.8659158917939181,2.2434783059723897,462.28424088789563,18.299284618312996,17.1463923450287,97.39345922684728,14.912199735227786,8.235430150725653,0.0,7.114653101522008,0.0,0.0,6.974207247024448,WD,Normal,1073.301756584182,3.663509110619246e+50,5.234195951198989e+150,True,1.2636353567562418e+151,3.829256274562485e+57,False,206.0569249353753,-2.527819892092794e+51,1.149080830487037e-14,1081.371210994746,133.00797079652443,0,0,1,1.2636353567562418e+151,824.789316252326,2.469901393703878,30.262282987475444,0,1,1,1,0,143000,11.870606902224587
1-STORY 1946 & NEWER ALL STYLES,RL,19.86336909369815,14.228589707336475,Lvl,Inside,Somerst,Norm,1Fam,1Story,6.04660082287256,3.9915166332550287,Gable,VinylSd,VinylSd,Stone,18.96228329895457,1.604478139397823,2.12798712166176,PConc,18.939944185305347,17.318546337734922,1.2607840931884786,4.884170427673171,230.75572109420077,0.5957696887028963,0.0,47.147306131538365,765.6412316252799,3.5627669979317553,412.5952362705829,SBrkr,6.456543492616137,0.0,0.0,8.34176703934536,0.993439755709873,1.8100729622489096,0.0,2.4512601368694753,0.750956851539637,2.1649887074124217,2.1373693553807915,Typ,0.9033340706689311,Attchd,1.5743654059519891,2.2434783059723897,611.2923105475193,18.299284618312996,17.1463923450287,97.39345922684728,50.794697530884804,11.65581936147115,0.0,0.0,0.0,0.0,5.785029840533622,WD,Normal,772.097775117896,1.346358366761952e+50,1.945126818754621e+150,True,1.5925422700006787e+151,3.751701977188463e+57,False,272.47524922357877,-2.7595349664785233e+51,3.447242491461111e-14,780.4395421572414,92.5580601179781,0,0,0,1.5925422700006787e+151,237.2122645868169,2.8035127179587827,62.45051689235595,0,0,1,1,1,307000,12.634606283893019
2-STORY 1946 & NEWER,RL,20.683504395539178,14.29434504591604,Lvl,Corner,NWAmes,PosN,1Fam,2Story,5.386893493310362,4.679500293717144,Gable,HdBoard,HdBoard,Stone,21.355329762038807,1.3826135112547757,2.12798712166176,CBlock,12.860756221243749,17.318546337734922,1.0187600230348213,4.149545311913138,165.70577132600548,1.146417909987475,4.749195982906694,37.422800039472065,529.4025028765416,3.5627669979317553,412.5952362705829,SBrkr,6.135565858422873,1185.8242556517487,0.0,8.605752403997142,0.993439755709873,1.8100729622489096,1.0688365163293567,2.4512601368694753,0.750956851539637,1.7868711440644676,2.1373693553807915,Typ,1.6882544655059455,Attchd,1.5743654059519891,2.2434783059723897,466.1089208667858,18.299284618312996,17.1463923450287,97.39345922684728,48.17486294962332,22.329538954895398,14.958218656329477,0.0,0.0,0.0,7.550093347441949,WD,Normal,1721.3623243867132,7.4163428047627875e+50,1.0305598972445869e+151,True,7.564950546315539e+150,3.9532558940301406e+57,False,207.76172411649884,-2.1525365226784397e+51,1.149080830487037e-14,1729.9680767907103,200.02461650967163,0,0,1,7.564950546315539e+150,1362.4147888190837,3.337930976123461,85.4626205608482,0,1,1,1,1,200000,12.206077645517674
1-1/2 STORY FINISHED ALL AGES,RM,15.564616981614925,13.126988742215488,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,5.386893493310362,3.9915166332550287,Gable,BrkFace,Wd Shng,None,0.0,1.3826135112547757,2.12798712166176,BrkTil,7.944894407140679,17.318546337734922,0.6607692844390141,0.9388009779032156,0.0,0.5957696887028963,0.0,90.70347462841423,463.7853302991287,2.967036933091472,412.5952362705829,FuseF,6.074708339081166,899.5416726940617,0.0,8.39960731364748,0.0,1.8100729622489096,0.0,1.713193597821045,1.2485432885551504,1.7868711440644676,2.261967958636929,Min1,1.6882544655059455,Detchd,0.8659158917939181,2.2434783059723897,450.8088090555532,7.815366127223403,17.1463923450287,97.39345922684728,25.693552624248223,0.0,14.347075992382642,0.0,0.0,0.0,3.1982181741744875,WD,Abnorml,1369.4017113322716,1.3664331763678812e+51,1.3473195249734945e+151,True,4.397354269026464e+150,4.154483445528247e+57,False,200.94190697340366,-1.5277376267868372e+51,2.298161660974074e-14,1377.801318645919,163.03163471788744,0,0,0,4.397354269026464e+150,905.6163810331429,1.8100729622489096,40.04062861663087,0,1,1,1,1,129900,11.774527900858468
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,15.369305736642675,13.546136102054923,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,4.015812915213856,4.679500293717144,Gable,MetalSd,MetalSd,None,0.0,1.3826135112547757,2.12798712166176,BrkTil,7.944894407140679,17.318546337734922,0.6607692844390141,4.884170427673171,164.60664417709182,0.5957696887028963,0.0,28.754166156514874,480.41237002940875,3.5627669979317553,412.5952362705829,SBrkr,6.114658264428409,0.0,0.0,7.778429509424249,0.993439755709873,0.9420433798293266,0.0,1.713193597821045,1.2485432885551504,1.7868711440644676,1.8346585724231437,Typ,1.6882544655059455,Attchd,1.5743654059519891,1.0706114986593946,198.63261871128674,35.04175404813015,17.1463923450287,97.39345922684728,0.0,2.3670774846648315,0.0,0.0,0.0,0.0,0.9173236340636073,WD,Normal,486.52702829383713,1.2624005924616544e+51,1.3473195249734945e+151,True,4.397354269026464e+150,4.121495851985123e+57,False,185.53193101326843,-1.631770210693064e+51,2.298161660974074e-14,494.3054578032614,62.54823389533414,0,0,0,4.397354269026464e+150,170.72130244152024,1.9354831355391995,2.3670774846648315,0,0,1,1,1,118000,11.678448377988165
